n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,input_at,3,12,1.3875832557678223,0.08029405027627945,0.44588205218315125,1.040172815322876,0.07899319380521774,14
2,0.8,input_at,3,13,1.7580119371414185,0.09047814458608627,0.48652568459510803,1.0378906726837158,0.07692401111125946,14
2,0.8,input_at,4,0,1.014281988143921,0.02392612397670746,0.8588590025901794,1.134842038154602,0.00012047553900629282,17
2,0.8,input_at,4,1,1.045563817024231,0.0282780472189188,0.7564963698387146,1.1822069883346558,0.00038394343573600054,17
2,0.8,input_at,4,2,1.1804481744766235,0.057564496994018555,0.4950242042541504,1.0394659042358398,0.06402029097080231,17
2,0.8,input_at,4,3,1.2233883142471313,0.06261986494064331,0.4780932068824768,0.9985933303833008,0.06406600028276443,17
2,0.8,input_at,4,4,0.928841769695282,0.020675286650657654,0.740604043006897,1.208142638206482,0.00019824874470941722,17
2,0.8,input_at,4,5,1.1797829866409302,0.05756187438964844,0.4944925308227539,1.0268670320510864,0.06481694430112839,17
2,0.8,input_at,4,6,1.2227879762649536,0.0626288428902626,0.47758305072784424,1.027790904045105,0.062236055731773376,17
2,0.8,input_at,4,7,1.458582878112793,0.07247088104486465,0.4956350028514862,1.0187370777130127,0.06418797373771667,17
2,0.8,input_at,4,8,1.3347151279449463,0.06677144765853882,0.4616026282310486,1.0070990324020386,0.06399741023778915,17
2,0.8,input_at,4,9,1.5206724405288696,0.07879270613193512,0.48293501138687134,1.015456199645996,0.0632501021027565,17
2,0.8,input_at,4,10,1.5199987888336182,0.07880336046218872,0.48246708512306213,1.0133445262908936,0.06338177621364594,17
2,0.8,input_at,4,11,1.5650057792663574,0.08523959666490555,0.49364256858825684,1.0302677154541016,0.06339423358440399,17
2,0.8,input_at,4,12,1.573042869567871,0.06839834153652191,0.46189290285110474,1.0274937152862549,0.0636189803481102,17
2,0.8,input_at,4,13,1.5737806558609009,0.0684286579489708,0.4622460901737213,1.0195690393447876,0.06409364938735962,17
2,0.8,input_at,4,14,1.5633080005645752,0.0852121114730835,0.49258729815483093,1.0155203342437744,0.06433135271072388,17
2,0.8,input_at,4,15,1.4478459358215332,0.07246891409158707,0.48838621377944946,1.0285758972167969,0.06357577443122864,17
2,0.8,input_at,4,16,1.3221206665039062,0.0668177381157875,0.45267555117607117,1.0239781141281128,0.06291700899600983,17
2,0.8,lat,0,0,2.0909321308135986,0.0011228766525164247,0.9826943874359131,1.1498744487762451,-2.335962744837161e-05,18
2,0.8,lat,0,1,1.9109766483306885,0.052846815437078476,0.5004742741584778,1.0647070407867432,0.061307143419981,18
2,0.8,lat,0,2,1.7152106761932373,0.0009060821612365544,0.9787110686302185,1.1519323587417603,-1.3235570804681629e-05,18
2,0.8,lat,0,3,1.897275447845459,0.05315166339278221,0.5001500248908997,1.0240157842636108,0.06092539802193642,18
2,0.8,lat,0,4,1.9059094190597534,0.05281103774905205,0.4998655617237091,1.0288591384887695,0.06111762672662735,18
